Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_89f6777f	ollie	Hi, I'm Ollie the Otter!	game/script.rpy	18	ollie "[what]"
start_f96b498c	ollie	Welcome to my home, the Brooklyn Children's Museum!	game/script.rpy	19	ollie "[what]"
start_df6b7f36	ollie	What's your name?	game/script.rpy	20	ollie "[what]"
start_0372f3ee	kit	Wow! You can talk?! That's so cool!	game/script.rpy	24	kit "[what]"
start_2854c681	kit	I'm Kit! Do you really live here?!	game/script.rpy	25	kit "[what]"
start_74062ecf	ollie	Yes! Awesome, right?!	game/script.rpy	26	ollie "[what]"
start_18605f0a	kit	Yes! I want to live here too!	game/script.rpy	27	kit "[what]"
start_1dd16ea3	ollie	We don't have a lot of time before your dad comes back.	game/script.rpy	29	ollie "[what]"
start_2e2ab6ec	ollie	Do you want to see some of my favorite places?	game/script.rpy	30	ollie "[what]"
start_0a003dab	kit	Yes, please!	game/script.rpy	31	kit "[what]"
start_bd7ffd24	ollie	What do you want to do first?	game/script.rpy	34	ollie "[what]" nointeract
measure_5e7c9f23	ollie	Who do you think is taller?	game/script.rpy	46	ollie "[what]" nointeract
kit_is_taller_yay_9e6ffad3	kit	Me!	game/script.rpy	54	kit "[what]"
kit_is_taller_yay_7adcaf82	ollie	Darn.	game/script.rpy	55	ollie "[what]"
kit_is_taller_sad_79f1c190	ollie	You 😕	game/script.rpy	61	ollie "[what]"
oyster_city_faf4d3fb	ollie	Welcome to Oyster City!	game/script.rpy	70	ollie "[what]"
oyster_city_ebcc7cf0	ollie	Oysters are really cool!	game/script.rpy	71	ollie "[what]"
oyster_city_16f6e166	ollie	They live with other oysters, together on reefs.	game/script.rpy	72	ollie "[what]"
oyster_city_6a4ed329	ollie	Oyster reefs are like apartment buildings because lots and lots of animals live in them.	game/script.rpy	73	ollie "[what]"
oyster_city_91e2cf20	ollie	Oysters also clean the water they live in. 	game/script.rpy	74	ollie "[what]"
ending_43182d63	ollie	Oh! Is that your dad?	game/script.rpy	80	ollie "[what]"
ending_375d8b34	ollie	I should go before he sees me.	game/script.rpy	81	ollie "[what]"
ending_812068b6	ollie	Thanks for hanging out with me!	game/script.rpy	83	ollie "[what]"
ending_c40819c8	ollie	I hope to see you again soon!	game/script.rpy	84	ollie "[what]"
ending_cb7273fd	kit	Thanks for showing me your home!	game/script.rpy	87	kit "[what]"
ending_4c164f0a	kit	Bye!	game/script.rpy	88	kit "[what]"
